,text,label
6,пользоваться телефон 4 месяц не однократно ловить дикий зависон приходиться снимать акума камера отказать работать напрочь остаться только фронталка она нафиг я не нужный вместе с камера сдохнуть и фонарик обновление по отсутствовать bq плохо обслуживать свой телефон готовый выкинуть он акума стать садиться ещё быстрый чем ранний бюджетник поход делать никто так и не научиться качество ужасный а брать дорогой российский федерация не позволять,0
9,отвратительный оболочка от samsung на android 5 1 1 камера без автофокус но хороший в ценовый категория без автофокус отсутствие вспышка как следствие и фонарик экран иметь очень маленькая угол обзор слабый зарядный устройство без usb кабель в зона 2 g низкий уровень связь другой устройство работать в сеть на много быстрый не советовать брать как основной телефон будильник не работать если выключить телефон,0
11,отличный материал изготовление качественный сборка стабильно работать ос полный интеграция с другой продукт apple любитель техника apple к кой причислять себя рекомендовать преходить на i phone 7 если у вы 5 5s 6 если пользоваться 6s то разница почти не заметить,1
12,1 яркий и качественный ips дисплей;2 очень большой угол обзора;3 высокий производительность любой игра идти на ура ;4 громкий динамик;5 стильный дизайн задний части;6 отличный характеристика по достойный цена купить он и при прослушивание музыка в наушник заметить такой штука как искажение звук но при нажатие на кнопка микрофон на наушник звук сразу становиться нормальный понести по гарантия на ремонт,1
16,операционный система андроид 7 0 цена экран большой комфортный при использование смартфон а самый главный недорогой доступный многий я устраивать ёмкость батарея в 4400 метр ач поэтому держаться большой 2 сутки это очень помогать в время длительный поездка – наслаждаться серфинг в интернет просматривать фильм слушать музыка при необходимость мочь общаться по скайп если нет ряд ноутбук качество изображение я устраивать вполне экран большой в 5дюйм в смартфон два камера на 8 и 2 мп с фотовспышка светодиодный и функция панорамный съёмка для такой небольшой ценовый категория просто подарок,1
18,уже писать здесь отзыв когда только купить решить оставить ещё один после почти полуго использование итак • пережить 2 полный цикл стирка с отжим в один раз вообще ничто после два немного зашарпаться краска на динамике• пережить очень много падение на весь подряд с разный высот• водозащита вышка в душа поставить даже полочка под смартфон• не начать тупить после глубокий кастомизации• ни раз не отказаться платить в целое весь равно остаться довольный самсом много недостаток связанный с излишний ожидание чудо от смарт в 2к17 хороший серфилка звонилка платилка для тот кома иной функционал и не особо нужный не пользоваться налом с момент приобретение мочь прям совсем пара раз чтоб купить шавуха считать это серьёзный противовес весь претензия купить бы снова ждать а3 18,1
19,шустрый надёжный телефон красивый внешний вид хороший камера отличный аппарат,1
20,1 очень медленный автоматический подстройка яркость экран под освещённость на улице2 мобильный интернет отваливаться каждый 15 20 минута помогать только перезагрузка посему ребутиться раз по 20 в день3 датчик отслеживать поднести к экран голова и блокировать экран работать с сбой что я только ухо в время разговор не нажимал4 сенсор экран сдохнуть через месяц пользование и это два телефон один начать глючить через половина час после покупка прийтись менять,0
21,тупить пользоваться имя почти половина год и за это время я уже успеть поменять динамик ещё в камера происходить сбой частенько виснуть это для я большой проблема мой прошлый леново так не вис как этот вывод такой хороший бы я купить хонора чем асус,0
22,это мой один смартфон сразу понять как с он обращаться купить в середина май 2016г 1 размер смартфон хороший один рука более менее можно управлять 2 работать нормальный претензия вообще нет интернет хорошо ловит3 нету лишний и ненужный загрузить приложение по сравнение с fly 4 есть функция супер мег экономия заряд аккумулятора5 простой и понятный меню быстро привыкнуть и понять что к что 6 быстро заряжаться после полный разрядка 1 1 5 час сразу после покупка засунуть смартфон в карман джинсы причём блокировка включить вытаскивать через минута 15 ходьба а там и фонарик включиться и камера на готов я остановиться пытаться понять в чем дело камера начало дёргаться даже немного удивиться ведь телефон новый в итог как то выключить весь открыться функция и менюшка и камера большой стараться в джинсы не носить только в внутренний карман куртка вообще подумывать купить чехол чтобы снова носить в джинсы но большой такой чудо неприятный не происходить в остальной смартфон довольный,1
